code,role
711216,{"id":1521,"name":"711216_emgwen_nandi"}
701365,{"id":1526,"name":"701365_sunawest_migori"}
700498,{"id":1531,"name":"700498_shinyalu_kakamega"}
707173,{"id":1536,"name":"707173_nakurueast_nakuru"}
701879,{"id":1541,"name":"701879_makadara_nairobi"}
602456,{"id":1545,"name":"602456_ruaraka_nairobi"}
700450,{"id":1550,"name":"700450_lungalunga_kwale"}
701139,{"id":1555,"name":"701139_kuresoinorth_nakuru"}
709630,{"id":1560,"name":"709630_kilifinorth_kilifi"}
601038,{"id":1565,"name":"601038_naivasha_nakuru"}
703279,{"id":1570,"name":"703279_soinsigowet_kericho"}
708479,{"id":1575,"name":"708479_gilgil_nakuru"}
700637,{"id":1580,"name":"700637_lugari_kakamega"}
602773,{"id":1585,"name":"602773_lurambi_kakamega"}
711310,{"id":1589,"name":"711310_mosop_nandi"}
601623,{"id":1594,"name":"601623_embakasicentral_nairobi"}
709186,{"id":1599,"name":"709186_rabai_kilifi"}
601747,{"id":1604,"name":"601747_rabai_kilifi"}
700972,{"id":1609,"name":"700972_mumiaseast_kakamega"}
600465,{"id":1614,"name":"600465_subasouth_homabay"}
708600,{"id":1618,"name":"708600_kibra_nairobi"}
700503,{"id":1623,"name":"700503_shinyalu_kakamega"}
702031,{"id":1628,"name":"702031_starehe_nairobi"}
600701,{"id":1633,"name":"600701_malava_kakamega"}
700933,{"id":1638,"name":"700933_ikolomani_kakamega"}
700634,{"id":1643,"name":"700634_lugari_kakamega"}
708493,{"id":1646,"name":"708493_rongai_nakuru"}
600879,{"id":1649,"name":"600879_gilgil_nakuru"}
701026,{"id":1654,"name":"701026_ugunja_siaya"}
600479,{"id":2940,"name":"600479_ugenya_siaya"}
708756,{"id":1663,"name":"708756_embakasisouth_nairobi"}
601083,{"id":1668,"name":"601083_nandihills_nandi"}
702191,{"id":2624,"name":"702191_starehe_nairobi"}
600175,{"id":2629,"name":"600175_subanorth_homabay"}
711844,{"id":2634,"name":"711844_mwingicentral_kitui"}
702079,{"id":2636,"name":"702079_kibra_nairobi"}
709211,{"id":2641,"name":"709211_kilifisouth_kilifi"}
701784,{"id":2646,"name":"701784_mathirawest_nyeri"}
702062,{"id":2651,"name":"702062_dagorettinorth_nairobi"}
700758,{"id":2655,"name":"700758_navakholo_kakamega"}
701640,{"id":2660,"name":"701640_nyatike_migori"}
705151,{"id":2665,"name":"705151_ainamoi_kericho"}
702204,{"id":2945,"name":"702204_starehe_nairobi"}
701081,{"id":2674,"name":"701081_mwinginorth_kitui"}
700788,{"id":2679,"name":"700788_matungu_kakamega"}
